,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_CITY,CAND_ST,CAND_ZIP,candidatevotes,totalvotes,VOTE_percent,WINNER
25,H4WV02080,"MOONEY, ALEXANDER XAVIER",REP,2016,WV,H,2.0,I,C,C00629949,MARTINSBURG,WV,25402.0,140807,242014,0.5818134488087466,1
26,H6FL25027,"VALDES, ALINA",DEM,2016,FL,H,25.0,C,C,C00578252,PEMBROKE PINES,FL,330823297.0,95319,253240,0.37639788343073766,0
28,H4NC12100,"ADAMS, ALMA SHEALEY",DEM,2016,NC,H,12.0,I,C,C00546358,CHARLOTTE,NC,28202.0,234115,349300,0.6702404809619239,1
29,H6IL06166,"HOWLAND, AMANDA",DEM,2016,IL,H,6.0,C,C,C00610923,LAKE ZURICH,IL,60047.0,143591,352146,0.4077598496078331,0
30,H0CA03078,"BERA, AMERISH",DEM,2016,CA,H,7.0,I,C,C00461061,ELK GROVE,CA,95758.0,152133,297301,0.5117137177473335,1
31,H6MD06212,"HOEBER, AMIE",REP,2016,MD,H,6.0,C,C,C00582296,POTOMAC,MD,20854.0,133081,331973,0.4008789871465451,0
32,H8IN07184,"CARSON, ANDRE",DEM,2016,IN,H,7.0,I,C,C00442921,INDIANAPOLIS,IN,46206.0,158739,264670,0.5997619677334038,1
33,H4FL22086,"MCGEE, ANDREA LEIGH LEIGH",REP,2016,FL,H,22.0,C,P,C00553388,POMPANO BEACH,FL,33062.0,138737,337850,0.41064673671747814,0
34,H2IN07088,"HORNING, ANDREW MICHAEL",LIB,2016,IN,H,8.0,C,N,C00616466,FREEDOM,IN,47431.0,13655,294713,0.04633321231163878,0
35,H0KY06104,"BARR, GARLAND ANDY",REP,2016,KY,H,6.0,I,C,C00467571,LEXINGTON,KY,405880588.0,202099,330827,0.61089028404574,1
36,H6AZ05083,"BIGGS, ANDY",REP,2016,AZ,H,5.0,O,C,C00610451,GILBERT,AZ,85234.0,205184,320124,0.6409516312428933,1
37,H6WI04063,"CRAIG, ANDY",LIB,2016,WI,H,4.0,C,N,C00589887,MILWAUKEE,WI,53222.0,32183,286909,0.11217145506066384,0
38,H8MD01094,"HARRIS, ANDREW P",REP,2016,MD,H,1.0,I,C,C00435974,STEVENSVILLE,MD,21666.0,242574,362097,0.6699144151981375,1
39,H6NC10158,"MILLARD, CARL ANDREW",DEM,2016,NC,H,10.0,C,P,C00573592,TRYON,NC,28782.0,128919,349744,0.36860961160162864,0
40,H4CA47069,"WHALLON, ANDREW",REP,2016,CA,H,47.0,C,P,C00552604,LONG BEACH,CA,90810.0,88109,242868,0.36278554605794094,0
42,H6CA14114,"CARDENAS, ANGEL",REP,2016,CA,H,14.0,C,N,C00612390,WEST SACRAMENTO,CA,95691.0,54817,286447,0.1913687348794018,0
44,H6IN05216,"DEMAREE, ANGELA JO",DEM,2016,IN,H,5.0,C,P,C00584946,INDIANAPOLIS,IN,46256.0,123849,361135,0.34294377448876456,0
45,H6GA03154,"PENDLEY, ANGELA",DEM,2016,GA,H,3.0,O,N,C00614685,GRANTIVLLE,GA,30220.0,95969,303187,0.31653402025812455,0
47,H4MI11089,"KUMAR, ANIL",DEM,2016,MI,H,11.0,C,P,C00548925,ROCHESTER HILLS,MI,48309.0,152461,379488,0.4017544691795261,0
49,H2MO02102,"WAGNER, ANN L.",REP,2016,MO,H,2.0,I,C,C00495846,BALLWIN,MO,63022.0,241954,413296,0.5854254577832837,1
50,H4MA03097,"WOFFORD, ROSEANN",REP,2016,MA,H,3.0,C,P,C00564450,HAVERHILL,MA,1835.0,107519,360124,0.2985610511934778,0
52,H8CA12098,"ESHOO, ANNA G.",DEM,2016,CA,H,18.0,I,C,C00258475,SACRAMENTO,CA,95814.0,230460,323930,0.7114500046306301,1
54,H6MD04209,"BROWN, ANTHONY GREGORY",DEM,2016,MD,H,4.0,O,C,C00574640,BOWIE,MD,20721.0,237501,320650,0.7406861063464837,1
55,H6ID02183,"TOMKINS, ANTHONY DAVID",CON,2016,ID,H,2.0,C,N,C00607366,TWIN FALLS,ID,83301.0,25005,326237,0.07664673228358525,0
57,H0CA11337,"AMADOR, ANTONIO C",REP,2016,CA,H,9.0,C,P,C00613083,LODI,CA,95242.0,98992,232155,0.4264047726734294,0
58,H4FL19058,"FREEMAN, APRIL JUNE",DEM,2016,FL,H,17.0,C,C,C00541359,CAPE CORAL,FL,33915.0,115974,338675,0.3424344873403706,0
59,H6SC02100,"BJORN, ARIK",DEM,2016,SC,H,2.0,C,P,C00612994,COLUMBIA,SC,29290.0,4146,304996,0.01359362089994623,0
60,H4PA09056,"HALVORSON, ARTHUR L",REP,2016,PA,H,9.0,C,C,C00545681,BEDFORD,PA,,107985,294565,0.36659141445860843,0
61,H0OR04081,"ROBINSON, ART DR.",REP,2016,OR,H,4.0,C,C,C00481341,CAVE JUNCTION,OR,97523.0,157743,397568,0.39676986075338055,0
63,H6IL01159,"DEUSER, AUGUST (O'NEILL)",REP,2016,IL,H,1.0,C,P,C00588384,MOKENA,IL,60448.0,81817,315862,0.2590276766435975,0
64,H0GA08099,"SCOTT, JAMES AUSTIN",REP,2016,GA,H,8.0,I,C,C00482737,ASHBURN,GA,31714.0,173983,257208,0.676429193493204,1
65,H6CA46140,"NGUYEN, BAO QUOC",DEM,2016,CA,H,46.0,O,P,C00582338,GARDEN GROVE,CA,92841.0,49345,164593,0.2998001130060209,0
66,H4VA10089,"COMSTOCK, BARBARA J HONORABLE",REP,2016,VA,H,10.0,I,C,C00554261,MC LEAN,VA,22101.0,210791,400083,0.5268681748537178,1
67,H8CA09060,"LEE, BARBARA",DEM,2016,CA,H,13.0,I,C,C00331769,OAKLAND,CA,94612.0,293117,322871,0.9078455482220453,1
68,H4GA11061,"LOUDERMILK, BARRY",REP,2016,GA,H,11.0,I,C,C00543892,CASSVILLE,GA,301230447.0,217935,323318,0.6740577388206038,1
69,H6IN06206,"WELSH, BARRY",DEM,2016,IN,H,6.0,C,P,C00741785,CONNERSVILLE,IN,47331.0,79135,296385,0.2670006916679319,0
70,H8NM03196,"LUJAN, BEN R MR.",DEM,2016,NM,H,3.0,I,C,C00443689,SANTA FE,NM,87506.0,170612,273342,0.6241704531319738,1
74,H4MS02068,"THOMPSON, BENNIE G.",DEM,2016,MS,H,2.0,I,C,C00279851,BOLTON,MS,39041.0,192343,286626,0.6710591502515473,1
76,H2TX16185,"O'ROURKE, ROBERT BETO",DEM,2016,TX,H,16.0,I,C,C00501197,EL PASO,TX,79902.0,150228,175229,0.8573238447973794,1
77,H0MN04049,"MCCOLLUM, BETTY",DFL,2016,MN,H,4.0,I,C,C00354688,ST PAUL,MN,55114.0,203299,351945,0.5776442341843185,1
78,H6OH11160,"GOLDSTEIN, BEVERLY A.",REP,2016,OH,H,11.0,C,C,C00612697,BEACHWOOD,OH,44122.0,59769,302686,0.1974620563884686,0
79,H6TX12136,"BRADSHAW, WILLIAM MICAH",DEM,2016,TX,H,12.0,C,N,C00593517,FORT WORTH,TX,76131.0,76029,283115,0.26854458435618034,0
80,H0TX17104,"FLORES, BILL",REP,2016,TX,H,17.0,I,C,C00472241,BRYAN,TX,77805.0,149417,245728,0.6080585037114208,1
81,H8IL14067,"FOSTER, G. WILLIAM (BILL)",DEM,2016,IL,H,11.0,I,C,C00435099,NAPERVILLE,IL,60540.0,166578,275573,0.6044786680843188,1
82,H0MI02094,"HUIZENGA, WILLIAM P THE HON.",REP,2016,MI,H,2.0,I,C,C00459297,ZEELAND,MI,494641509.0,212508,339328,0.6262613164843456,1
83,H0OH06189,"JOHNSON, BILL",REP,2016,OH,H,6.0,I,C,C00476820,MARIETTA,OH,45750.0,213975,302755,0.706759591088504,1
85,H6MO02301,"OTTO, BILL MR.",DEM,2016,MO,H,2.0,C,P,C00577460,MARYLAND HEIGHTS,MO,63043.0,155689,413296,0.3767009600867175,0
86,H8FL15107,"POSEY, BILL",REP,2016,FL,H,8.0,I,C,C00444968,MELBOURNE,FL,32941.0,246483,390561,0.6310998794042416,1
87,H2PA09035,"SHUSTER, WILLIAM MR.",REP,2016,PA,H,9.0,I,C,C00364935,HOLLIDAYSBURG,PA,16648.0,186580,294565,0.6334085855413916,1
88,H6FL08254,"STINSON, BILL",NPA,2016,FL,H,8.0,C,P,C00619783,MELBOURNE,FL,32940.0,16951,390561,0.04340167092976513,0
90,H0MO07113,"LONG, BILLY MR.",REP,2016,MO,H,7.0,I,C,C00460063,SPRINGFIELD,MO,658094689.0,228692,338607,0.6753906446115999,1
91,H8MO09153,"LUETKEMEYER, W BLAINE",REP,2016,MO,H,3.0,I,C,C00458679,ST ELIZABETH,MO,65075.0,249865,368333,0.6783671297440088,1
92,H0TX27061,"FARENTHOLD, RANDOLPH BLAKE",REP,2016,TX,H,27.0,I,C,C00473736,CORPUS CHRISTI,TX,784122751.0,142251,230580,0.6169268800416341,1
93,H0OH18077,"GIBBS, ROBERT",REP,2016,OH,H,7.0,I,C,C00466516,LAKEVILLE,OH,44638.0,198221,309553,0.6403459181464887,1
94,H2VA06115,"GOODLATTE, ROBERT W.",REP,2016,VA,H,6.0,I,C,C00257956,ROANOKE,VA,240188755.0,225471,338409,0.6662677411061763,1
95,H6NJ01204,"PATTERSON, ROBERT W.",REP,2016,NJ,H,1.0,C,P,C00590810,HADDONFIELD,NJ,8033.0,112388,305473,0.36791467658352783,0
96,H6CO04160,"SEAY, BOB",DEM,2016,CO,H,4.0,C,P,C00586651,LAMAR,CO,81052.0,123642,390633,0.31651703773106726,0
97,H2IL01042,"RUSH, BOBBY LEE",DEM,2016,IL,H,1.0,I,C,C00257121,CHICAGO,IL,60653.0,234037,315862,0.7409469958399554,1
98,H4NJ12149,"COLEMAN, BONNIE WATSON",DEM,2016,NJ,H,12.0,I,C,C00558437,WASHINGTON,DC,20003.0,181430,288634,0.628581525392019,1
100,H2OH02085,"WENSTRUP, BRAD DR.",REP,2016,OH,H,2.0,I,C,C00497818,CINCINNATI,OH,452261121.0,221193,340279,0.6500342366117215,1
101,H6CA24113,"SHERMAN, BRAD",DEM,2016,CA,H,30.0,I,C,C00308742,SHERMAN OAKS,CA,94103.0,205279,282604,0.7263839153019773,1
102,H4AL01123,"BYRNE, BRADLEY ROBERTS",REP,2016,AL,H,1.0,I,C,C00545673,FAIRHOPE,AL,36532.0,208083,215893,0.9638246724071646,1
103,H6WA07425,"WALKINSHAW, BRADY PINERO",DEM,2016,WA,H,7.0,O,P,C00597732,SEATTLE,WA,98104.0,166744,378754,0.44024353538180455,0
104,H2MI14111,"LAWRENCE, BRENDA LULENAR",DEM,2016,MI,H,14.0,I,C,C00552588,SOUTHFIELD,MI,48076.0,244135,310974,0.7850656324966074,1
105,H4PA13199,"BOYLE, BRENDAN F",DEM,2016,PA,H,13.0,I,C,C00543363,PHILADELPHIA,PA,19116.0,239316,239316,1.0,1
107,H6NJ06229,"SONNEK-SCHMELZ, BRENT J",REP,2016,NJ,H,6.0,C,P,C00611061,ATLANTIC HIGHLANDS,NJ,7716.0,91908,263435,0.34888302617343936,0
109,H8KY02031,"GUTHRIE, S. BRETT HON.",REP,2016,KY,H,2.0,I,C,C00445023,BOWLING GREEN,KY,421031593.0,251825,251825,1.0,1
110,H6CA39137,"MURDOCK, BRETT",DEM,2016,CA,H,39.0,C,P,C00588699,BREA,CA,92821.0,112679,263456,0.42769570630389897,0
111,H6TX02079,"BABIN, BRIAN",REP,2016,TX,H,36.0,I,C,C00553859,WOODVILLE,TX,75979.0,193675,218565,0.8861208336192895,1
112,H6PA08277,"FITZPATRICK, BRIAN",REP,2016,PA,H,8.0,O,C,C00607416,LANGHORNE,PA,190470939.0,207263,380818,0.5442573617843695,1
115,H6FL18097,"MAST, BRIAN",REP,2016,FL,H,18.0,O,C,C00579896,STUART,FL,34995.0,201488,375918,0.535989231694146,1
119,H4ME02234,"POLIQUIN, BRUCE L",REP,2016,ME,H,2.0,I,C,C00518654,OAKLAND,ME,4963.0,192878,364886,0.5285979730655602,1
121,H4AR04048,"WESTERMAN, BRUCE MR.",REP,2016,AR,H,4.0,I,C,C00548180,HOT SPRINGS,AR,71903.0,182885,244159,0.7490405842094701,1
123,H6CA25177,"CAFORIO, BRYAN",DEM,2016,CA,H,25.0,C,C,C00597724,VALENCIA,CA,91355.0,122406,261161,0.46869938467075867,0
125,H2MD02160,"RUPPERSBERGER, C.A. DUTCH",DEM,2016,MD,H,2.0,I,C,C00376673,TIMONIUM,MD,21094.0,192183,309480,0.6209868165955796,1
129,H6FL18121,"SPALDING, CARLA ARLENE",IND,2016,FL,H,18.0,O,C,C00581330,JUPITER,FL,33468.0,12503,375918,0.0332599130661474,0
130,H4FL26038,"CURBELO, CARLOS MR.",REP,2016,FL,H,26.0,I,C,C00546846,MIAMI,FL,33173.0,148547,280542,0.5295000392098153,1
131,H6CA05336,"SANTAMARIA, CARLOS J",REP,2016,CA,H,5.0,C,N,C00746420,NAPA,CA,94558.0,67565,292091,0.23131489843918504,0
133,H2NY14037,"MALONEY, CAROLYN B.",DEM,2016,NY,H,12.0,I,C,C00273169,NEW YORK,NY,10128.0,230153,312289,0.7369872137667353,1
134,H6CA20145,"LUCIUS, CASEY",REP,2016,CA,H,20.0,O,P,C00578732,MONTEREY,CA,93943.0,74811,255791,0.29246924246748324,0
136,H8IN07259,"PING, CATHERINE LOUISE ""CAT""",REP,2016,IN,H,7.0,C,P,C00568774,INDIANAPOLIS,IN,46218.0,94456,264670,0.35688215513658517,0
138,H4WA05077,"MCMORRIS RODGERS, CATHY",REP,2016,WA,H,5.0,I,P,C00390476,SPOKANE,WA,99203.0,192959,323534,0.5964102690907293,1
139,H8LA02054,"RICHMOND, CEDRIC L.",DEM,2016,LA,H,2.0,I,C,C00451336,NEW ORLEANS,LA,70116.0,198289,284269,0.6975400061209629,1
141,H6UT02390,"ALBARRAN, CHARLENE MCARTHUR",DEM,2016,UT,H,2.0,C,P,C00592360,PARK CITY,UT,84068.0,93778,276819,0.338770098873271,0
142,H6IL12099,"BARICEVIC, CHARLES JOHN",DEM,2016,IL,H,12.0,C,P,C00576710,BELLEVILLE,IL,62220.0,124246,313002,0.3969495402585287,0
143,H6CO01208,"STOKHAM, CHARLES WESLEY (CASPER)",REP,2016,CO,H,1.0,C,P,C00585265,AURORA,CO,80016.0,105030,379036,0.27709768992918876,0
144,H6VA08237,"HERNICK, CHARLES ALAN MR.",REP,2016,VA,H,8.0,C,P,C00607945,ARLINGTON,VA,22202.0,98387,360676,0.2727849926249598,0
145,H0TN03254,"FLEISCHMANN, CHARLES J",REP,2016,TN,H,3.0,I,C,C00461822,CHATTANOOGA,TN,37402.0,176613,266006,0.6639436704435239,1
147,H4PA15087,"DENT, CHARLES W. REP.",REP,2016,PA,H,15.0,I,C,C00386847,ALLENTOWN,PA,181044546.0,190618,326474,0.5838688532624344,1
148,H6FL13205,"CRIST, CHARLIE JOSEPH",DEM,2016,FL,H,13.0,C,C,C00590067,ST. PETERSBURG,FL,33731.0,184693,355842,0.5190309182165118,1
149,H6ND01015,"IRON EYES, CHASE MR.",DEM,2016,ND,H,0.0,C,P,C00614891,FORT YATES,ND,58538.0,80377,338459,0.2374792810946082,0
151,H8ME01120,"PINGREE, CHELLIE M",DEM,2016,ME,H,1.0,I,C,C00433391,NORTH HAVEN,ME,4853.0,227546,406942,0.5591607649247313,1
152,H2IL17071,"BUSTOS, CHERI",DEM,2016,IL,H,17.0,I,C,C00498568,EAST MOLINE,IL,612440077.0,173125,287068,0.6030801064556133,1
154,H6SC04163,"FEDALEI, CHRISTOPHER",DEM,2016,SC,H,4.0,C,C,C00602581,GREENVILLE,SC,29601.0,91676,295670,0.31006189332702,0
156,H2UT02324,"STEWART, CHRIS",REP,2016,UT,H,2.0,I,C,C00506931,FARMINGTON,UT,84025.0,170524,276819,0.6160126291909154,1
157,H6NC09184,"CANO, FERNANDO CHRISTIAN JR",DEM,2016,NC,H,9.0,C,C,C00590307,CHARLOTTE,NC,28226.0,139041,332493,0.41817722478367964,0
160,H6FL14112,"QUINN, CHRISTINE YVONNE",REP,2016,FL,H,14.0,C,C,C00609297,TAMPA,FL,33607.0,121088,316877,0.3821293435623286,0
161,H6MA09164,"CATALDO, CHRISTOPHER DAVID",NPA,2016,MA,H,9.0,C,C,C00613711,NORWELL,MA,2061.0,8338,403642,0.02065691875473811,0
162,H8NJ04014,"SMITH, CHRISTOPHER H",REP,2016,NJ,H,4.0,I,C,C00096412,HAMILTON,NJ,86190184.0,211992,332684,0.6372172992990345,1
163,H6IA02161,"PETERS, CHRISTOPHER CARL",REP,2016,IA,H,2.0,C,C,C00613539,CORALVILLE,IA,52241.0,170933,370032,0.4619411294158343,0
170,H6CT05157,"COPE, CLAY",REP,2016,CT,H,5.0,C,P,C00605659,SHERMAN,CT,6784.0,4901,309082,0.01585663351473072,0
172,H4WA04088,"DIDIER, CLINT",REP,2016,WA,H,4.0,C,P,C00618009,ELTOPIA,WA,99330.0,97402,229919,0.42363615012243444,0
175,H2HI02110,"HANABUSA, COLLEEN WAKAKO",DEM,2016,HI,H,1.0,O,C,C00468413,HONOLULU,HI,96817.0,145417,213531,0.6810111880710529,1
176,H2MN07014,"PETERSON, COLLIN CLARK",DEM,2016,MN,H,7.0,I,C,C00253187,DETROIT LAKES,MN,56501.0,173572,330823,0.5246672692043781,1
178,H6OR05143,"WILLIS, COLM",REP,2016,OR,H,5.0,C,P,C00592055,STAYTON,OR,97383.0,160443,373108,0.43001758204058876,0
179,H4MD07074,"VAUGHN, CARROGAN R",REP,2016,MD,H,7.0,C,N,C00565200,BALTIMORE,MD,21207.0,69556,318912,0.21810405378286174,0
180,H4FL08077,"WESTBROOK, CORRY",DEM,2016,FL,H,8.0,C,C,C00543173,VERO BEACH,FL,32960.0,127127,390561,0.3254984496659933,0
181,H4UT01108,"BOWDEN, CRAIG RICHARD",LIB,2016,UT,H,1.0,C,N,C00544866,NORTH OGDEN,UT,84414.0,16296,277451,0.05873469549578124,0
183,H4CA02098,"MENSING, DALE KENNETH",REP,2016,CA,H,2.0,C,N,C00543553,GARBERVILLE,CA,95542.0,76572,330766,0.2314990053391219,0
184,H6MD08564,"COX, DAN",REP,2016,MD,H,8.0,O,P,C00614362,EMMITSBURG,MD,21727.0,124651,364324,0.34214325710082233,0
187,H4WA04104,"NEWHOUSE, DAN",REP,2016,WA,H,4.0,I,C,C00559393,SUNNYSIDE,WA,989449767.0,132517,229919,0.5763638498775656,1
189,H4OH07049,"PHILLIP, DANIEL GEORGE",IND,2016,OH,H,7.0,C,P,C00558387,ASHLAND,OH,44805.0,21694,309553,0.07008169844905396,0
190,H8CA42061,"ROHRABACHER, DANA",REP,2016,CA,H,48.0,I,C,C00224691,NEWPORT BEACH,CA,92658.0,178701,306416,0.5831973526186622,1
194,H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",DEM,2016,IL,H,3.0,I,C,C00405431,WESTERN SPRINGS,IL,60558.0,225320,225411,0.9995962929936871,1
196,H6NE01127,"WIK, DANIEL M DR",DEM,2016,NE,H,1.0,C,N,C00624098,NORFOLK,NE,68701.0,83467,273238,0.3054736164076739,0
198,H2MI05119,"KILDEE, DANIEL T.",DEM,2016,MI,H,5.0,I,C,C00499947,FLUSHING,MI,48433.0,195279,319291,0.6116019555828383,1
199,H4NY13076,"RIVERA, DANIEL VILA",GRE,2016,NY,H,13.0,O,N,C00564955,NEW YORK,NY,10027.0,8248,255239,0.03231481082436462,0
201,H6LA01209,"FAUST, DANIL",DEM,2016,LA,H,1.0,C,P,C00623157,NEW ORLEANS,LA,70112.0,12708,326788,0.038887596851781586,0
202,H6NY14236,"MAIO, DANNIEL",REP,2016,NY,H,6.0,C,N,C00429548,FOREST HILLS,NY,11375.0,4875,210378,0.023172575079143255,0
203,H4IL07037,"DAVIS, DANNY K. MR.",DEM,2016,IL,H,7.0,I,C,C00172619,CHICAGO,IL,60644.0,250584,297466,0.8423954334276859,1
204,H6CA15152,"TURNER, DANNY REID",REP,2016,CA,H,15.0,C,N,C00611855,LIVERMORE,CA,94550.0,70619,269197,0.2623320467910118,0
207,H6IL18088,"LAHOOD, DARIN MCKAY",REP,2016,IL,H,18.0,I,C,C00575050,DUNLAP,IL,61525.0,250506,347283,0.721331018218571,1
210,H0CA48024,"ISSA, DARRELL ",REP,2016,CA,H,49.0,I,C,C00350520,VISTA,CA,92085.0,155888,310155,0.5026132095242701,1
211,H6FL09179,"SOTO, DARREN",DEM,2016,FL,H,9.0,O,C,C00581074,ORLANDO,FL,32801.0,195311,339761,0.574848202118548,1
212,H6MO08126,"COWELL, DAVE ALLEN MR.",DEM,2016,MO,H,8.0,C,N,C00614677,FARMINGTON,MO,63640.0,70009,308871,0.22666096849493803,0
213,H6AZ09010,"GILES, DAVID VICTOR",REP,2016,AZ,H,9.0,C,C,C00572602,CHANDLER,AZ,85226.0,108350,277507,0.3904406014983406,0
214,H6MN07304,"HUGHES, DAVID RUSSELL MR.",REP,2016,MN,H,7.0,C,C,C00610071,KARLSTAD,MN,56732.0,156944,330823,0.4744047421128519,0
216,H0MA09027,"ROSA, DAVID A",REP,2016,MA,H,4.0,C,P,C00612382,DIGHTON,MA,2715.0,113055,395304,0.2859950822658005,0
217,H4MI11097,"TROTT, DAVID A",REP,2016,MI,H,11.0,I,C,C00548941,BIRMINGHAM,MI,48009.0,200872,379488,0.5293237203811452,1
218,H0WV01072,"MCKINLEY, DAVID B. MR.",REP,2016,WV,H,1.0,I,C,C00473132,WHEELING,WV,26003.0,163469,237003,0.6897338852250815,1
220,H2FL06091,"BRUDERLY, DAVID EDWARD",DEM,2016,FL,H,4.0,O,C,C00621763,JACKSONVILLE,FL,322163275.0,113088,409662,0.2760519647904858,0
221,H6NC04037,"PRICE, DAVID E.",DEM,2016,NC,H,4.0,I,C,C00195628,RALEIGH,NC,27602.0,279380,409541,0.6821783411184716,1
222,H4WA08071,"REICHERT, DAVE",REP,2016,WA,H,8.0,I,C,C00397737,BELLEVUE,WA,98015.0,193145,320865,0.6019509762672776,1
223,H2CA20094,"VALADAO, DAVID",REP,2016,CA,H,21.0,I,C,C00499392,FRESNO,CA,93704.0,75126,132408,0.5673826354903027,1
225,H4NJ02157,"COLE, DAVID HAGERTY",DEM,2016,NJ,H,2.0,C,P,C00608968,SEWELL,NJ,8080.0,110838,297795,0.3721956379388506,0
228,H6AL06127,"PUTMAN, DAVID",DEM,2016,AL,H,6.0,C,P,C00586750,VESTAVIA,AL,35266.0,83709,329306,0.2541982229294334,0
229,H0MO03120,"ARNOLD, DAVID JUSTUS",GRE,2016,MO,H,2.0,C,N,C00478271,SAINT LOUIS,MO,63123.0,3895,413296,0.009424238318299718,0
230,H2TN07103,"KUSTOFF, DAVID",REP,2016,TN,H,8.0,O,C,C00614826,GERMANTOWN,TN,38138.0,194386,282733,0.6875249793975234,1
232,H6IA02146,"LOEBSACK, DAVID WAYNE",DEM,2016,IA,H,2.0,I,C,C00414318,IOWA CITY,IA,52244.0,198571,370032,0.5366319669650192,1
234,H0RI01073,"CICILLINE, DAVID N",DEM,2016,RI,H,1.0,I,C,C00476564,PROVIDENCE,RI,2906.0,130534,202371,0.6450232493786165,1
235,H2OH14064,"JOYCE, DAVID P",REP,2016,OH,H,14.0,I,C,C00527457,NOVELTY,OH,44072.0,219191,350269,0.6257790441061013,1
236,H6TN01388,"ROE, DAVID PHILLIP DR.",REP,2016,TN,H,1.0,I,C,C00444471,JOHNSON CITY,TN,376043639.0,198293,253025,0.7836893587590159,1
238,H2NC07096,"ROUZER, DAVID CHESTON MR.",REP,2016,NC,H,7.0,I,C,C00501643,BENSON,NC,27504.0,211801,347706,0.60913817995663,1
239,H4AZ06045,"SCHWEIKERT, DAVID",REP,2016,AZ,H,6.0,I,C,C00540617,FOUNTAIN HILLS,AZ,85268.0,201578,324444,0.6213029058943916,1
240,H2GA13012,"SCOTT, DAVID ALBERT",DEM,2016,GA,H,13.0,I,C,C00369801,ATLANTA,GA,30307.0,252833,252833,1.0,1
242,H4FL13101,"JOLLY, DAVID W.",REP,2016,FL,H,13.0,I,P,C00551572,INDIAN ROCKS BEACH,FL,33785.0,171149,355842,0.4809690817834882,0
243,H6TN06155,"KENT, DAVID W.",DEM,2016,TN,H,6.0,C,P,C00619940,COTTONTOWN,TN,37048.0,61995,284490,0.21791627122218707,0
245,H4IA03115,"YOUNG, DAVID",REP,2016,IA,H,3.0,I,C,C00545616,VAN METER,IA,50261.0,208598,390287,0.5344733490995088,1
246,H4MI12079,"DINGELL, DEBBIE",DEM,2016,MI,H,12.0,I,C,C00558213,DEARBORN,MI,48124.0,211378,328542,0.6433819724723171,1
